Date,Open,High,Low,Close,Volume,Market Cap,Rounded Low,Spread (Hi-Low),Spread(Close-Open)
12/1/17,10198.6,11046.7,9694.65,10975.6,19570122510,1.83445E+11,10900,1352.05,777
11/30/17,9906.79,10801,9202.05,10233.6,22924917044,1.7102E+11,10200,1598.95,326.81
11/29/17,10077.4,11517.4,9601.03,9888.61,28458302001,1.65234E+11,9800,1916.37,-188.79
11/28/17,9823.43,10125.7,9736.3,10058.8,23584545236,1.68056E+11,10000,389.4,235.37
11/27/17,9352.72,9818.35,9352.72,9818.35,18273427258,1.64019E+11,9800,465.63,465.63
11/26/17,8789.04,9522.93,8775.59,9330.55,14579400038,1.55851E+11,9300,747.34,541.51
11/25/17,8241.71,8790.92,8191.15,8790.92,18063710661,1.46821E+11,8700,599.77,549.21
11/24/17,8074.02,8374.16,7940.93,8253.69,18132626557,1.37832E+11,8200,433.23,179.67
11/23/17,8232.38,8267.4,8038.77,8038.77,22127414859,1.34228E+11,8000,228.63,-193.61
11/22/17,8077.95,8302.26,8075.47,8253.55,20348301782,1.37798E+11,8200,226.79,175.6
11/21/17,8205.74,8348.66,7762.71,8071.26,24510232855,1.3474E+11,8000,585.95,-134.48
11/20/17,8039.07,8336.86,7949.36,8200.64,23942095652,1.36882E+11,8200,387.5,161.57
11/19/17,7766.03,8101.91,7694.1,8036.49,21435790610,1.34124E+11,8000,407.81,270.46
11/18/17,7697.21,7884.99,7463.44,7790.15,19518236322,1.29997E+11,7700,421.55,92.94
11/17/17,7853.57,8004.59,7561.09,7708.99,27276055666,1.28622E+11,7700,443.5,-144.58
11/16/17,7323.24,7967.38,7176.58,7871.69,25779850795,1.31328E+11,7800,790.8,548.45
11/15/17,6634.76,7342.25,6634.76,7315.54,19653332646,1.22036E+11,7300,707.49,680.78
11/14/17,6561.48,6764.98,6461.75,6635.75,23482168188,1.10683E+11,6600,303.23,74.27
11/13/17,5938.25,6811.19,5844.29,6559.49,24717087646,1.09401E+11,6500,966.9,621.24
11/12/17,6295.45,6625.05,5519.01,5950.07,11582517510,99226193603,5900,1106.04,-345.38
11/11/17,6618.61,6873.15,6204.22,6357.6,9589797520,1.06016E+11,6300,668.93,-261.01
11/10/17,7173.73,7312,6436.87,6618.14,14919581333,1.10354E+11,6600,875.13,-555.59
11/9/17,7446.83,7446.83,7101.52,7143.58,14514360424,1.19105E+11,7100,345.31,-303.25
11/8/17,7141.38,7776.42,7114.02,7459.69,13615015832,1.24361E+11,7400,662.4,318.31
11/7/17,7023.1,7253.32,7023.1,7144.38,13186823103,1.19091E+11,7100,230.22,121.28
11/6/17,7403.22,7445.77,7007.31,7022.76,10365132174,1.17051E+11,7000,438.46,-380.46
11/5/17,7404.52,7617.48,7333.19,7407.41,7906084143,1.23449E+11,7400,284.29,2.89
11/4/17,7164.48,7492.86,7031.28,7379.95,8075799853,1.22979E+11,7300,461.58,215.47
11/3/17,7087.53,7461.29,7002.94,7207.76,11133920200,1.20097E+11,7200,458.35,120.23
11/2/17,6777.77,7367.33,6758.72,7078.5,13198172316,1.17933E+11,7000,608.61,300.73
11/1/17,6440.97,6767.31,6377.88,6767.31,12050590911,1.12735E+11,6700,389.43,326.34
10/31/17,6132.02,6470.43,6103.33,6468.4,10261139373,1.07744E+11,6400,367.1,336.38
10/30/17,6114.85,6214.99,6040.85,6130.53,10040929640,1.02105E+11,6100,174.14,15.68
10/29/17,5754.44,6255.71,5724.58,6153.85,8492465811,1.02482E+11,6100,531.13,399.41
10/28/17,5787.82,5876.72,5689.19,5753.09,6965317471,95797359518,5700,187.53,-34.73
10/27/17,5899.74,5988.39,5728.82,5780.9,9780217060,96254297360,5700,259.57,-118.84
10/26/17,5747.95,5976.8,5721.22,5904.83,8733216874,98310176011,5900,255.58,156.88
